Performance,Lost/Won,Conversation Segment,Transcript,Comp_Score,Pos_Score,Neg_Score,Neu_Score
high,lost,demo,solutions engineer  its the process because maybe people dont understand the data model right and and i i experienced this myself a number a bi expert itd bi expert ive worked with four different bi companies and there have been times where ive had analysis paralysis simply because i dont know what information is out there  industry issues ends  solutions engineer  and so rather than having to scroll through a list of two  columns obviously in this one its more of a scaled down version but now im not stuck because i dontremoved    removed have to actually find something to drag onto the view as a starting point i can start to type in see what actually gets generated for me the other thing to keep in mind is in this case we actually dont have anything called revenue if you notice in this list duck vertical theres sales and there so that theres that translation that says look revenue income net sales its all sales and on the back but i is the the end user i dont have to be exact or precise with what im putting on the view the synonym concept allows me to have a little bit of translation to bridge that gap and so therefore this idea of a data pain on the left hand side which is historically the the the the prerequisite for any any reporting that you do its there is a reference but its no longer a requirement if you will its a crowd to more than client  on on in this view is there the is there a mechanism for like say for like a metric like for for revenue or something can can somebody add or or modify calculation here like the like you would be able too and third party vendor for example solutions engineer  you can so if we come in here to the ellipsis youll see theres add formula and and its gonna you know kinda be the same dot type of dialogue box where weve got various calculations and and functions that we can apply and of course even just the some of the details on on what that syntax is gonna look like you know so itll show hey if you if you put it in this format of the function and then the two parameters that you can put the input it will it will obviously generate that and then itll show up basically that would be a another section as soon as we created a formula down here that says here your formulas and of course you could you can bring those into the view as well and you could even kind of hard code this into the worksheet itself so it doesnt have to live just at the at the search level client  is it like from a governance perspective is there a way to kind of limit that functionality by user solutions engineer  there is yeah so basically you can you can really turn on or off this this add formula based on that that user capability or group capability wed also have the ability to apply this at a real levels apply the role level security,0.9899,0.098,0.021,0.881
high,lost,demo,solutions engineer  so that if were looking at this you know im only associated with the west so all the data would be paired down to total include west data that that fits that criteria so that just also hard coded into the worksheetclient removed    removed  awesome account executive  cliente you can do the same i dont know if you saw the download data option that can also be taken away based on permissions,0.6597,0.075,0.018,0.907
high,lost,company product,client  yep okay yeah and that and that makes sense solutions engineer  and you know kind of taking a step back i know that one of the questions was how this fits in slash competes with something like a third party vendor frankly again based on my experience what ive found is its weird to say the two almost go hand in hand because really this type of question that ive asked its probably not something that i want to monitor over time right its very important for me because ive got a meeting in  minutes and i want to get this answer after that meeting i dont care about this anymore and so the idea of going to a report developer or someone they can create this in the in the tool if i dont have the expertise to do that i saved them effort of actually creating that and how many of those  queries on a daily basis fall into that category where its simply just a one off its not worth the effort to create a dashboard or report it connects me right to the data element that i want to see and now all of a sudden that workload is basically eliminate its not just reduced its eliminated from the bi development team because this is not something that needs to be monitored over time it doesnt qualify for something its official as as a report and i think that that number that percentage is like   percent if not more about the the the questions that people ask throughout the day and whether or not they need to see them over time client  hello hey solutions engineer i think i know at least a part of the answer to this but im gonna put you on the spot here and ask you to equate this to ask data and double,0.8895,0.085,0.031,0.885
high,lost,about company,solutions engineer  yeah yeah its a great question so i mean the funny thing is would ultimately need to go from from third party vendor to company is i was reminded of earlier my career when i was working with removed and this is around the time that third party vendor came to start to be kind of a dominant player in the marketplace industry issues  solutions engineer removed    removed  and you know at the time removed had visual insight right which in the course of a  minute demo wed spend maybe three minutes on that digital insight piece saying hey yeah we check that box as well see its pretty cool now lets get back to the real task at hand of determining what your enterprise canned reports canned dashboards et cetera needs are  about company  solutions engineer  and so theres theres kind of a lot of by the symmetry between that time in the market in in in where were at today which is you know power bi has at what is q and a or answers third party vendor has asked data and i go back to the idea that account executive i i dont know how many customers we actually have,0.986,0.175,0.0,0.825
high,lost,pricing,solutions engineer i think its like  but every one of those  customers that basically bought and implemented company because of the search capability and if it doesnt stand up and then were dead in the water i dont know how many folks are how many organizations have implemented s data,-0.705,0.058,0.112,0.829
high,lost,company product,solutions engineer  but in in however many there are if the ask data piece doesnt stand up theres still the core functionality that third party vendor provides that they can they can whether them and so its its kind of like third party vendor and yahoo right the idea that you know one disappear because of the infrastructure behind it because of the effectiveness of it  search types ends  solutions engineer  and i mean its simply just a man i will say this if you have that data its certainly worth to look to see if it fits your needs just from a fiduciary standpoint youve already invested in the platform but what weve seen is more times than not people actually use us with third party vendor,0.9581,0.16,0.017,0.823
high,lost,about company,solutions engineer  i think its removed that has removed category managers that are using core third party vendor with asked with company even though theyve got asked dataremoved    removed  about company ends  account executive  yeah sure and i think did robs point if you get if hes like would you see and ultimately you want to test company we encourage you to do it side by side if you already have asked data and i think i think youll see the difference in first name,0.875,0.174,0.033,0.793
high,lost,next steps,client  okay cool yeah yeah sure wed wanna take it at least that far account executive  yeah solutions engineer as far as you know lets say this is a an answer that you have for a meeting later today you may not want it for a long term you know what we call live border dashboard but you may want to save it just for presenting purposes not shown that kind of workflow solutions engineer  sure so we we kind of leverage the concept of pending so i think at one point we had these referred to as pin boards in much the same way that pinterest kind of works and so lets just say we wanted to create a new one of these and well call this our sample ill delete this later but we can add this to that particular pin board and now weve weve got that available and thats really more of just a container but so as we go through and and find some insider we drill down to whatever we want to zero in on lets say you want to drill into the product full name and youll notice the search is going to be a the search status bar is going to update hey now that weve got another answer will will pin that and this will just be kind of a running collection of the information that we want to to keep track of and so then of course we can go to our live boards and open it up and are all like i said it will kinda continue to have that that example there solutions engineer  i know we did want to take a look at the back end and now i want to be sensitive to time  agenda  solutions engineer  are there any specific questions and of course we can always set up another session we can always revisit these but i just wanted to kinda ask the question before we get into the the back end piececlient removed    removed  certainly want to take a closer look at this obviously will probably would like to do an onsite demo  agenda ends  client  so i can actually do some side by side comparisons but i am very interested in seeing the back end side because i think one of the biggest issues with any data in any company is you know you send a user here how did they know even what to ask the question on like what data sources are they asking on so i dont know client if youve experienced that here but certainly been i might have passed but how would they know to affect retail sales solutions engineer  i see so basically we we tend to think of a worksheet is kind of an area for business and so and there will be some overlap from one to another but the the nice thing is again you can just start with the generic search and itll itll tell you which which worksheet it and that element of the data exists and the other thing is we also in in account executive you might have more details on this than i do,0.9907,0.1,0.026,0.874
high,lost,onboarding,solutions engineer  but one of the things we do as a new customer comes on board is we help with the onboarding process to train certain certain subset to users so that they know how to use the tool they kinda know a little bit of a semantic model and and and help them through that process to kind of help you get further along in your in your development account executive  absolutely so so snameng a good example everybody a company from a sales perspective uses company to analyze our you know whether our metrics whether thats you know first meetings or plc or you know stages that kind of stuff and so when its rolled out to sail the third party vendor theres a you know we have a worksheet that we are assigned to to begin with  onboarding process ends  account executive  for example solutions engineer has mentioned also something we have called search assist where and this is something we can show you we dont have we probably wont have time today but basically on a per worksheet basis you can set up search assist where when i enter the platform for the first time i have a guided search where itll say hey type in this keyword type in this keyword type in this keyword this is going to give you an example search to get them startedremoved    removed  onboarding process  account executive  so theres a handful of different ways that we that we can help make sure that the initial experience for users is curated to the point where it that you know you get him going they feel comfortable client  real quick from from a governance perspective is it so like to to clients point like you know how how do i know to use a particular data set,0.9933,0.146,0.0,0.854
high,lost,company product,client  can we leverage the the that mapping as a way to have governance right so so like if it to all of the users of this platform you only have access to certain data sets and and we get to pick what those data sets are by mapping them in in in into the application so you can have some business user just go find random date out in out in the data warehouse and and and use it solutions engineer  absolutely as you can imagine we use this internally and even though you know were were the data culture and we encourage people to search it will obviously their their hr data sources or worksheets their finance worksheets that hi as an individual contributor have zero access to  data management  functions ends  solutions engineer  so i dont even see them show up let alone see them show up and you have the data restricted so thats essentially done on a worksheet by worksheet basis to determine what you have access to what you dont even see et cetera client  and just real quick does that tie into active directory or yeah solutions engineer  yeah so so we pull in those those users and groups that way yep cool there was one other point that that account executive reminded me about im done i know you had a question around kind of customer accounts and everything so if you notice obviously you know this is just a list of our dimensions that are measures lets just do a quick a unique count and you notice that that keyword so their various keywords whether it be versus are top or things like that lets just do a uniqueremoved    removed count of customer and do unique kind of customer name and then we get our our answer generated that way so even though theres not a hard coded measure for that weve got the ability for the end user to come in and just use that unique count keyword to get what they need,0.9752,0.098,0.013,0.889
